,studio,number_published,average_score
1569,Eighth Wonder Studios,1,73
1570,The Chinese Room,5,73
1571,Hutch,1,73
1572,Carbon Games,2,73
1573,Rumpus,1,73
1574,Fuzzy Logic (Pty) Ltd,1,73
1575,Crytek GmbH,1,73
1576,Rodiola Studios,1,73
1577,Ultra Runaway Games,1,73
1578,Three Phase Interactive Pty Ltd,1,73
1579,"BorderLeap, LLC",1,73
1580,FrozenGunGames,1,73
1581,Scopely - Top Free Apps and Games LLC,1,73
1582,SMS Services O.o.o.,1,73
1583,Transhuman Design,4,73
1584,Instant Kingdom,1,73
1585,Exato Game Studios,1,73
1586,Tilt Studios,1,73
1587,Pixel Toys,2,73
1588,David Mondou-Labbe,1,73
1589,Brute Farce,1,73
1590,Tribute Games Inc.,2,73
1591,Super Hippo Studios Limited,1,73
1592,Bitmap Galaxy,1,73
1593,Shining Rock Software,1,73
1594,Engaging Games LLC,1,73
1595,Kevin Choteau,1,73
1596,Gone North Games,1,73
1597,QIXEN-P DESIGN LLP,1,73
1598,Austin Ivansmith,1,73
1599,Alan Zucconi,1,73
1600,"Nyu Media, Ltd.",1,73
1601,"Fabian Schaub, Thomas Krueger",1,73
1602,Extend Interactive,2,73
1603,Funktronic Labs,4,73
1604,Relevo,1,73
1605,RageSquid,3,73
1606,Brianna W. Wu,1,73
1607,Pocket Trend,1,73
1608,"Playtap Games, LLC",1,73
1609,Kevin Bradford LLC,1,73
1610,Craneballs s.r.o.,2,73
1611,Polarity Flow,1,73
1612,Evan Todd,1,73
1613,Kittehface Software,1,73
1614,Neckbolt,1,73
1615,Many Monkeys,1,73
1616,Pixellore,1,73
1617,Dry Cactus,1,73
1618,Daylight Studios,4,73
1619,Jim Bonacci,1,73
1620,Aleksander Kauch,1,73
1621,MuHa Games,1,73
1622,Retroid Interactive,1,73
1623,Rotten Mage,2,73
1624,beyondthosehills,1,73
1625,Runestone Games Limited,1,73
1626,Cosmografik Studio,2,73
1627,PaperSeven,3,73
1628,Love Conquers All Games,1,73
1629,DolphinBarn,1,73
1630,Harmonious Games,1,73
1631,Piece of Cake studios,1,73
1632,PlayEveryWare,1,73
1633,TuoMuseo,1,73
1634,Gearbox Publishing,1,73
1635,War Ducks Ltd,1,73
1636,SIGONO INC.,2,73
1637,GameTomo,1,73
1638,Weather Factory,1,73
1639,Rainbite,1,73
1640,SONKA,1,73
1641,5pb,1,73
1642,LucasArts,1,73
1643,EA Games,2,73
1644,Renegade Kid,1,73
1645,Marvelous,7,73
1646,BeautiFun Games,6,73
1647,Team17 Software Ltd,9,73
1648,Ratloop Asia Pte Ltd,4,73
1649,Ravenous Games Inc.,1,73
1650,From Software,6,73
1651,Game Arts,2,73
1652,Active Gaming Media,1,73
1653,Virgin Interactive,6,73
1654,HotGen Ltd.,3,73
1655,Uber Entertainment,6,73
1656,Crackshell,3,73
1657,Green Lava Studios,3,73
1658,Sigtrap Games,3,73
1659,Oculus Studios,3,73
1660,Puppy Games,5,73
1661,Chillingo,1,73
1662,Chillingo Ltd,1,73
1663,SNK,1,73
1664,Monkeystone,2,73
1665,iGames,2,73
1666,HandyGames,2,73
1667,Futuremark Games Studio,4,73
1668,VooFoo Studios,1,73
1669,Cadenza,2,73
1670,Fire Hose Games,6,73
1671,Gazillion,4,73
1672,SpikySnail Games Studio,2,73
1673,Behold Studios Jogos Eletronicos LTDA ME,4,73
1674,Disparity Games,2,73
1675,Ripstone,3,73
1676,Digital Dreams,4,73
1677,Forest Moon Games,2,73
1678,Bossa Studios Ltd,4,73
1679,Mobile & Game Studio,2,73
1680,Naiad Entertainment,2,73
1681,Team Gotham,2,73
1682,High Horse Entertainment,2,73
1683,Four Horses,2,73
1684,2K Sports,1,72
1685,Atlus Co.,5,72
1686,Warner Bros.,9,72
1687,SCEI,1,72
1688,Digital Reality,1,72
1689,"Frozenbyte, Inc.",2,72
1690,Ponos,3,72
1691,"Beep Games, Inc.",3,72
1692,"Hassey Enterprises, Inc.",3,72
1693,Reptile,3,72
1694,Reign Bros,3,72
1695,Battlefront.com,1,72
1696,Hasbro Interactive,1,72
1697,Limited Run Games,3,72
1698,Abylight,1,72
1699,"Tetris Online, Inc",5,72
1700,Ravenous Games,1,72
1701,Kasedo Games,5,72
1702,Aqua Plus,5,72
1703,Mistwalker,7,72
1704,Rovio Entertainment,2,72
1705,Funcom,2,72
1706,Origin,2,72
1707,Zener Works,2,72
1708,Fun Com,1,72
1709,Rake in Grass,2,72
1710,Isotope 244,1,72
1711,CREOTEAM,1,72
1712,Cobra Mobile,2,72
1713,Handmark,1,72
1714,Murudai,1,72
1715,Unknown,1,72
1716,StormBASIC Games,1,72
1717,KLab,1,72
1718,PlayCreek,1,72
1719,Honeyslug Ltd,5,72
1720,Red Rocket Games,1,72
1721,Romper Games,1,72
1722,Mad Processor,1,72
1723,Spicysoft Corp.,2,72
1724,Brawsome,2,72
1725,Brendon Chung,1,72
1726,Haruneko,1,72
1727,P2 Games,1,72
1728,Tons of Bits,1,72
1729,Bolt Creative,1,72
1730,Ookoohko Oy,1,72
1731,Aidem Media,1,72
1732,ORiGO GAMES,3,72
1733,Room 4 Games Limited,1,72
1734,Picsoft Studio,1,72
1735,Index Corporation,1,72
1736,Loqheart,1,72
1737,"Massive Damage, Inc.",2,72
1738,RaceRoom Entertainment AG,1,72
1739,Omni Systems Limited,1,72
1740,Hortor,1,72
1741,Different Tuna,1,72
1742,Trigger Happy LLC,1,72
1743,Discord Games,1,72
1744,Daedalic Entertainment GmbH,1,72
1745,Fuzzy Wuzzy Games,1,72
1746,Turtle Sandbox LLC,1,72
1747,11Sheep,1,72
1748,Pop Sandbox,2,72
1749,Attribite AB,1,72
1750,Sean Hogan,1,72
1751,Whole Hog Games,1,72
1752,Stygian Software,1,72
1753,ZHI-YU HONG,1,72
1754,Terrible Posture Games,3,72
1755,Narcosis Team,1,72
1756,Alvin Phu,1,72
1757,Mighty Mill Games Ltd,1,72
1758,OhNoo,1,72
1759,Bear Box Media,1,72
1760,AHEARTFULOFGAMES,2,72
1761,Squarehead Studios,1,72
1762,2Awesome Studio,1,72
1763,Lucky Pause,1,72
1764,Baggy Cat Ltd,1,72
1765,Sandbox Interactive,1,72
1766,"Honor Code, Inc.",2,72
1767,Vivid Helix,2,72
1768,Suncrash,1,72
1769,Strange Company,1,72
1770,Noxy Games Inc.,1,72
1771,Frame Interactive,1,72
1772,Tri-Coastal Games,1,72
1773,Eden Games Mobile,2,72
1774,"Lion Shield, LLC",1,72
1775,inbetweengames,1,72
1776,Game Grumps,1,72
1777,Fast Travel Games,1,72
1778,Fish Eagle,2,72
1779,Fedor Danilov,1,72
1780,Huey Games,2,72
1781,Darjeeling,1,72
1782,Interactive Stone,1,72
1783,Ascaron Entertainment,1,72
1784,Jupiter Corporation,1,72
1785,Vector Unit,8,72
1786,Swing Swing Submarine,6,72
1787,"Young Horses, Inc",5,72
1788,Sony Online Entertainment,5,72
1789,InXile Entertainment,2,72
1790,G5 Entertainment,8,72
1791,SomaSim,4,72
1792,Atooi LLC,4,72
1793,Bulkypix,6,72
1794,Playbrains,7,72
1795,Milkstone Studios,6,72
1796,Colorbox,3,72
1797,Ivanovich Games,3,72
1798,Shortbreak Studios,3,72
1799,Shiro Games,3,72
1800,Active Gaming Media Inc.,6,72
1801,Double Damage Games,3,72
1802,Mothership Entertainment,3,72
1803,Pendulo Studios,1,72
1804,Red Thread Games,5,72
1805,GAMEVIL Inc.,2,72
1806,Grasshopper Manufacture,2,72
1807,Kevin Ng,2,72
1808,"Z2Live, Inc",4,72
1809,Mojo Bones,6,72
1810,Little Chicken Game Company B.V.,2,72
1811,Pixel Maniacs,2,72
1812,King.com,9,71
1813,34BigThings,5,71
1814,Sumo Digital,5,71
1815,Nighthawk Interactive,1,71
1816,Daybreak Games,3,71
1817,TT Games,6,71
1818,Ascaron Entertainment GmbH,1,71
1819,Choice Provisions,1,71
1820,Glu Mobile,2,71
1821,Channel 4,4,71
1822,SideQuest Studios,8,71
1823,Flying Wild Hog,1,71
1824,Red Storm Entertainment,2,71
1825,Golden Ruby Games,5,71
1826,Alawar Entertainment,5,71
1827,Ayopa Games LLC,1,71
1828,Crunching Koalas,1,71
1829,Sega,6,71
1830,TopWare,1,71
1831,Ocean,2,71
1832,Lucas Learning,1,71
1833,Frogster Interactive,3,71
1834,"Fallen Earth, LLC",1,71
1835,Basilisk Games,2,71
1836,ANACONDA,1,71
1837,Individual,2,71
1838,Nor Eagle,1,71
1839,starvingeyes,1,71
1840,interwave Games,2,71
1841,Deceased Pixel LLC,2,71
1842,Lonely Few,1,71
1843,Delirium Studios,3,71
1844,Buzz Monkey Software,1,71
1845,MindTrip Studios,1,71
1846,EightyEight Games,1,71
1847,Strapped to a Meteor,2,71
1848,Minority,2,71
1849,"Simple Machine, LLC",4,71
1850,Tindalos Interactive,3,71
1851,Hitcents,1,71
1852,Omni Systems,2,71
1853,Beeline Europe,2,71
1854,Watermelon,2,71
1855,Daniel Martins Novais,1,71
1856,Walk Thru Walls Studios,1,71
1857,Boss Baddie,1,71
1858,Six to Start,1,71
1859,One Side Software,1,71
1860,"Joystick Labs, LLC",2,71
1861,Aterdux Entertainment,1,71
1862,Heliceum,1,71
1863,Geeta Games,1,71
1864,Artifice Studio,2,71
1865,Midoki,1,71
1866,Synoptical Studios Ltd,1,71
1867,CBE software s.r.o.,1,71
1868,Breakfall,3,71
1869,Liquid Entertainment LLC.,1,71
1870,WARCHEST LIMITED,2,71
1871,Perrin,2,71
1872,Elephant Mouse LLC,1,71
1873,Raphael Blanchet,1,71
1874,Dark Seas Games,1,71
1875,Mana Games,1,71
1876,Petit Depotto,1,71
1877,KickBack,1,71
1878,Midnight City,1,71
1879,"Tap My Game, Inc.",1,71
1880,Constantin Graf,3,71
1881,Barking Mouse Studio,1,71
1882,Ironward,2,71
1883,Finji,6,71
1884,Grand Cru,1,71
1885,Icarus Games,1,71
1886,Qwiboo Ltd,1,71
1887,[bracket]games,4,71
1888,Numantian Games,1,71
1889,Infinitap Games,2,71
1890,Jesse Makkonen,2,71
1891,Lozange Lab,1,71
1892,PlayEveryWare Games,3,71
1893,Team Junkfish,1,71
1894,Game Insight,1,71
1895,Psychose Interactive Inc.,1,71
1896,Mango Protocol,2,71
1897,Ground Shatter Ltd.,1,71
1898,Pera Games,1,71
1899,Star Maid Games,1,71
1900,bromoco,1,71
1901,Animatoon Studio,1,71
1902,Ant Workshop Ltd,1,71
1903,JetCatGames,1,71
1904,Hyper Awesome Entertainment,1,71
1905,Hollow Ponds,2,71
1906,Eendhoorn Games,2,71
1907,team ok,1,71
1908,Digital Smash,1,71
1909,C.I.N.I.C. Games,2,71
1910,Catch & Release,1,71
1911,It's Anecdotal,1,71
1912,MythicOwl,1,71
1913,IzHard,1,71
1914,Junkfish Limited,1,71
1915,Matt Bitner,1,71
1916,No More Robots,1,71
1917,Robot Gentleman,1,71
1918,Perfect Hat,1,71
1919,Plausible Concept,1,71
1920,Inti Creates,3,71
1921,Gathering,4,71
1922,WB Games Montreal,9,71
1923,CCP,8,71
1924,Paradox Interactive,1,71
1925,Phoenix Online Studios,6,71
1926,Crescent Moon Games,5,71
1927,NeocoreGames,1,71
1928,Daedalic Entertainment,5,71
1929,Empty Clip Studios,4,71
1930,CyberConnect2,4,71
1931,Big Fish Games,1,71
1932,Slitherine,3,71
1933,Mages.,9,71
1934,Warm Lamp Games,3,71
1935,Teotl Studios,5,71
1936,Curve Digital Games,5,71
1937,HeroCraft,9,71
1938,W!Games,4,71
1939,Digital Legends Entertainment,4,71
1940,Performance Designed Products,2,71
1941,Replay Games,4,71
1942,Laughing Jackal,1,71
1943,Pixelocity Software LLC,2,71
1944,ColePowered,2,71
1945,Wooga,2,71
1946,Spearhead Games,6,71
1947,Last Limb Games,2,71
1948,MixedBag Srl,1,71
1949,MY.COM,2,71
1950,Flat Earth Games,2,71
1951,Unfinished Pixel,2,71
1952,Bishop Games,2,71
1953,Wish Studios,2,71
1954,Eagle Games,4,70
1955,Com2uS,1,70
1956,Mediatonic,1,70
1957,Craneballs Studios,3,70
1958,Hollow Tree Games,3,70
1959,Warner Bros. Interactive Entertainment,3,70
1960,Yuke's,7,70
1961,Witt Interactive Software,1,70
1962,Artifex Mundi,1,70
1963,Arc System Works,9,70
1964,"Alawar Entertainment, Inc",4,70
1965,King.com Limited,8,70
1966,ACE Team,1,70
1967,Green Hill,5,70
1968,Adventure Productions,5,70
1969,Surprise Attack,1,70
1970,Samurai Punk,5,70
1971,Flyhigh Works,1,70
1972,Fox Interactive,7,70
1973,Atlus,1,70
1974,Aksys Games,1,70
1975,Image Space Incorporated,1,70
1976,NEC Interchannel,2,70
1977,Gastronaut Studios,3,70
1978,StarWraith,1,70
1979,Diamond Mind,2,70
1980,First Star Software,1,70
1981,Petroglyph,1,70
1982,Tigon,5,70
1983,Ankama Games,3,70
1984,Bimboosoft,1,70
1985,Mind Candy,2,70
1986,Arkedo Studio,5,70
1987,MC2 Entertainment,1,70
1988,gamigo,1,70
1989,Namco Networks America,1,70
1990,TransGaming Inc.,1,70
1991,Little Worlds Studio,2,70
1992,"Big Sandwich Games, Inc.",2,70
1993,"Pixel Stream, LLC",1,70
1994,Cascadia Games,1,70
1995,Xpressed,1,70
1996,Gamelion Studios,1,70
1997,Nate Games,1,70
1998,BlackHiveMedia,1,70
1999,Sudokop,1,70
2000,Colin Walsh,1,70
2001,The Codemasters Software Company Limited,2,70
2002,Millipede Creative Development,1,70
2003,Endeavor Bros Interactive Software,1,70
2004,Com2uS USA,1,70
2005,Breakthrough Entertainment,1,70
2006,Red Wagon,1,70
2007,Swinecrafters LLC,1,70
2008,ScrewAttack LLC,4,70
2009,Robots and Pencils Inc.,1,70
2010,Gamesmold,2,70
2011,Arctic Empire,1,70
2012,PsychicParrot Games,1,70
2013,DoubleBear Productions,1,70
2014,Pixonauts,1,70
2015,SmashMouth Games,1,70
2016,Endgame Studios,1,70
2017,Smestorp Limited,1,70
2018,PIXOWL INC.,1,70
2019,Fenix Fire,1,70
2020,SmashMouth Games Ltd,1,70
2021,Hany Malek,1,70
2022,Underground Pixel,1,70
2023,Red Wagon Games,1,70
2024,Qwakers,1,70
2025,Danny Perski,1,70
2026,Monstars Inc.,2,70
2027,PunchBox Studios,2,70
2028,Axis Sivitz,1,70
2029,Spencer Cordes,1,70
2030,Moon Spider Studio,1,70
2031,Plarium Global Ltd,1,70
2032,Intelligence Engine Design Systems LLC,1,70
2033,Denby / Raze,1,70
2034,AppXplore Sdn Bhd,2,70
2035,Alexandre Ribeiro,1,70
2036,Metro Trains Melbourne Pty Ltd,1,70
2037,Large Animal Games,3,70
2038,Jon McKellan,1,70
2039,Korigame Entertainment LTD,1,70
2040,Necrosoft Games,1,70
2041,Stellar Jockeys,1,70
2042,Interbellum Team,1,70
2043,animdude,2,70
2044,232 Studios,1,70
2045,Glitchy Pixel,1,70
2046,Cagil Bektas,1,70
2047,Outsider Games,1,70
2048,Graviteam (R),1,70
2049,Heart Shaped Games LLC,1,70
2050,Roope Tamminen,1,70
2051,Killmonday Games HB,1,70
2052,Madruga Works,2,70
2053,Thomas Brush,1,70
2054,Rusty Lake,2,70
2055,Insane Code,1,70
2056,Outlands,1,70
2057,Tizona Interactive,1,70
2058,Xigma Games,1,70
2059,Bruno Dias,1,70
2060,Monster Couch,1,70
2061,Scott Ethington,1,70
2062,"CHIBIG, S.L.U.",1,70
2063,Picomy,1,70
2064,_No Company,2,70
2065,Techland,4,70
2066,Bandai Namco Games,2,70
2067,Chillingo Ltd.,1,70
2068,G.Rev,6,70
2069,Tecmo Koei America Corp.,2,70
2070,Namco,1,70
2071,SNK Playmore,5,70
2072,Everplay,8,70
2073,Dynamighty,4,70
2074,Studio Saizensen,8,70
2075,Wizard Fu Games,4,70
2076,13AM Games,7,70
2077,Milestone,3,70
2078,Ripstone Ltd,3,70
2079,Varkian Empire,3,70
2080,SCEE,2,70
2081,10tons Ltd,2,70
2082,Blue Byte,1,70
2083,Tozai Games,7,70
2084,Glu Games Inc.,1,70
2085,Codemasters,1,70
2086,Pam Development,8,70
2087,Oniric Games,2,70
2088,Distinctive Developments Ltd,2,70
2089,i-illusions,2,70
2090,Creative Mobile,2,70
2091,Red Redemption,2,70
2092,GlitchSoft,4,70
2093,osao,2,70
2094,Forge Reply,1,70
2095,Minor Key Games,2,70
2096,Roadhouse Games Ltd.,2,70
2097,E-Line Media,4,70
2098,Red Phantom Games,2,70
2099,New Blood Interactive,2,70
2100,Space Dust Studios,2,70
2101,Play It!,2,70
2102,Dan & Gary Games,2,70
2103,Shin'en,2,69
2104,Size Five Games,5,69
2105,Gameloft,1,69
2106,Versus Evil,2,69
2107,WayForward,7,69
2108,Mommy's Best Games,3,69
2109,En Masse Entertainment,3,69
2110,Digital Dreams Entertainment LLC,3,69
2111,Prideful Sloth,3,69
2112,Chorus Worldwide,3,69
2113,10tons,5,69
2114,Rovio Entertainment Ltd,1,69
2115,Sports Mogul,7,69
2116,"Konami Mobile & Online, Inc.",7,69
2117,NaturalMotion,1,69
2118,Surprise Attack Games,4,69
2119,Cornfox & Bros.,4,69
2120,Chilled Mouse,5,69
2121,Mercury Steam,2,69
2122,NinjaBee,1,69
2123,Trion Worlds,1,69
2124,KING Art,1,69
2125,Nival Interactive,1,69
2126,Iridon Interactive AB,2,69
2127,Mark Healey,1,69
2128,Cateia Games,1,69
2129,Traffic,1,69
2130,NHN USA Inc.,2,69
2131,Sarbakan Inc.,3,69
2132,Zerodiv,9,69
2133,Novaleaf Game Studios,1,69
2134,Gala Networks,1,69
2135,Sony Pictures Television,1,69
2136,Nexx Studio,1,69
2137,Robert Szeleney,1,69
2138,RailSimulator.com,3,69
2139,Jorge Hernandez,1,69
2140,Bigpoint,1,69
2141,Brainphant,1,69
2142,TOUCHMINE CO.LTD,1,69
2143,Longbow Digital Arts,2,69
2144,BIG BAD BRUSH inc.,1,69
2145,Kyy Games,2,69
2146,Hide and Seek Productions Ltd,1,69
2147,Facepunch Studios,1,69
2148,Game Atelier,2,69
2149,Grey Alien Games,1,69
2150,Company 100 Inc.,1,69
2151,Mystic Box,1,69
2152,Blitz 1UP,1,69
2153,Bacon Wrapped Games,1,69
2154,Gamesoul Studio,1,69
2155,TOME Studios,1,69
2156,Giant Media Group,2,69
2157,Freyr Games,3,69
2158,Gamistry,2,69
2159,Coffee Powered Machine,1,69
2160,Spike Chunsoft Co. Ltd.,1,69
2161,Muffin Games,1,69
2162,Miniclip,1,69
2163,Barrel of Donkeys,1,69
2164,Gory Detail Limited,1,69
2165,IMakeGames,1,69
2166,DPFLASHES STUDIOS,1,69
2167,Christian Schnellmann,1,69
2168,"Tapinator,LLC",1,69
2169,Midgar Studio,1,69
2170,Alexander Lading,1,69
2171,Skytrain Studios,1,69
2172,Phobic Studios,1,69
2173,Experience Inc.,6,69
2174,Niantic Labs,1,69
2175,Tiny Rebel Games LLC,1,69
2176,Unity Games,2,69
2177,Last Dimension,1,69
2178,Xaviant Games,1,69
2179,Kiro'o Games,1,69
2180,Wonderstruck Games,1,69
2181,Rival Games Ltd,3,69
2182,Bodysoft,1,69
2183,Sileni Studios,1,69
2184,Yukitama,1,69
2185,Parabole,3,69
2186,Tesseract Interactive,1,69
2187,KBros Entertainment,1,69
2188,dawei lee,1,69
2189,Digixart Entertainment,3,69
2190,Pixel Maverick Games,1,69
2191,Drop Dead Interactive,1,69
2192,ManaVoid Entertainment Inc.,1,69
2193,StellarVR,1,69
2194,ThisGameStudio,1,69
2195,Fabrik Games,2,69
2196,Kbros Games,1,69
2197,Xaviant,1,69
2198,Total Mayhem Games,1,69
2199,Tomatotrap,1,69
2200,Pill Bug Interactive,1,69
2201,"Act 3 Games, LLC",1,69
2202,Tapinator,1,69
2203,Marvelous Inc.,1,69
2204,Engine Software,1,69
2205,Moss,6,69
2206,Eden Industries,6,69
2207,Taleworlds,5,69
2208,Frima Studio,1,69
2209,PQube,3,69
2210,Cherry Pop Games,4,69
2211,Not Doppler,4,69
2212,Sold Out,1,69
2213,No Brakes Games,4,69
2214,"Viva Media, LLC",2,69
2215,Radical Entertainment,4,69
2216,Rainbow Studios,3,69
2217,Ubisoft,9,69
2218,Viva Media,3,69
2219,Magellan Interactive,3,69
2220,One or Eight,3,69
2221,XSEED Games,1,69
2222,Reverb,5,69
2223,Josh Presseisen,5,69
2224,Minority Media Inc.,5,69
2225,BiP Media,2,69
2226,3 Sprockets,4,69
2227,kode80 LLC,2,69
2228,Gaslamp Games,2,69
2229,"GREE, Inc.",2,69
2230,Four Door Lemon,2,69
2231,Pascal Bestebroer,2,69
2232,Switchblade Monkeys,2,69
2233,Dissident Logic,2,69
2234,Sand Sailor Studio,4,69
2235,2tainment,2,69
2236,Joe Richardson,2,69
2237,Hikergames,2,69
2238,Playdius,6,69
2239,We Are Fuzzy,2,69
2240,Fruitbat Factory,5,68
2241,Tecmo,5,68
2242,GSC Game World,1,68
2243,HD Interactive,3,68
2244,Rudolf Kremers,3,68
2245,Alex May,3,68
2246,Uppercut Games Pty Ltd,6,68
2247,No Goblin,3,68
2248,Sassybot,3,68
2249,acttil llc.,3,68
2250,Lichthund,3,68
2251,Netamin,2,68
2252,Vivendi Games,1,68
2253,Tale of Tales,4,68
2254,SNK Corporation,4,68
2255,Excalibur Publishing,1,68
2256,tinyBuild,4,68
2257,Nexon,1,68
2258,Cinemax,7,68
2259,Sierra Entertainment,1,68
2260,Team 17,1,68
2261,Vatical Entertainment,2,68
2262,iWin,2,68
2263,Positech Games,8,68
2264,Genius Sonority Inc.,1,68
2265,SuperVillain Studios,1,68
2266,EastAsiaSoft,9,68
2267,Proper Games,3,68
2268,Big Finish Games,1,68
2269,Neptune Interactive Inc.,1,68
2270,Galcon,1,68
2271,"EXTEND Interactive, LLC.",1,68
2272,Bottle Rocket,1,68
2273,TBS,2,68
2274,Melesta,1,68
2275,Paladin Studios,3,68
2276,Sony Music Entertainment,1,68
2277,Carpe Fulgur,3,68
2278,Lace Mamba Global,4,68
2279,Thumbstar Games,3,68
2280,"Trilobyte Games, LLC.",1,68
2281,ROBOX Studios,1,68
2282,GRL Games,1,68
2283,"Pocket Gems, Inc.",1,68
2284,Alex Dantis,1,68
2285,JoshOClock,1,68
2286,Gameline,1,68
2287,Breaktime Studios,1,68
2288,Infinite Game Publishing,1,68
2289,SuperGlueStudio,1,68
2290,"MinoMonsters, Inc.",1,68
2291,Red Wasp Design,1,68
2292,Rising Step,1,68
2293,Okugi Studio,1,68
2294,Televisa,1,68
2295,Strange Flavour Ltd.,1,68
2296,Al4red Studios,1,68
2297,Rebellion Games,2,68
2298,Yeah Us!,2,68
2299,Watermelon Development,3,68
2300,Emmanuel MONNEREAU,1,68
2301,franfistro,1,68
2302,Sometimes You,4,68
2303,Lightmare Studio,1,68
2304,Orthogonal Games,2,68
2305,Jonathan Lavigne,2,68
2306,Games Workshop,1,68
2307,Glass Knuckle Games,1,68
2308,Hutch Games Ltd,1,68
2309,Serenity Forge,5,68
2310,Kraken Empire,2,68
2311,Appsolute Games LLC,1,68
2312,IF Games,2,68
2313,Shark Punch,1,68
2314,PHL Collective,1,68
2315,QUICKTEQUILA,3,68
2316,Sunnyside Games,1,68
2317,Nival,1,68
2318,Morgondag,2,68
2319,ONE MORE LEVEL,1,68
2320,Industrial Toys,1,68
2321,Industrial Toys LLC,1,68
2322,IN|FRAMEZ TECHNOLOGY CORP.,2,68
2323,Toasty Games,1,68
2324,Brainseed Factory,5,68
2325,Xiness,1,68
2326,ZackBellGames,1,68
2327,TURBOGUN,1,68
2328,Oldblood,1,68
2329,SoftPlanet,1,68
2330,NicoplvGames,1,68
2331,A Fox Wot I Drew,1,68
2332,Playwood Project,1,68
2333,UNKNOWN GAMES,1,68
2334,Multiverse Games,1,68
2335,Anton Riot,1,68
2336,Carbon Studio,2,68
2337,Multiverse,1,68
2338,Kaia Studios,1,68
2339,Threye Interactive,1,68
2340,Midnight Hub,1,68
